Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS0639-S03,,2/28/2007,4 to 8,7.18,5.68,3750,2,74.63,0.16,27.22,324.29,72.37,,,,0.0436,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; B. Duhon; C. Durio; K. Trahan,No water on marsh where samples taken,29.88984587,-93.47942824
CRMS0639-S03,,2/28/2007,8 to 12,7.12,5.55,5098.5,2.75,83.89,0.12,48.87,324.29,65.01,,,,0.0586,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; B. Duhon; C. Durio; K. Trahan,No water on marsh where samples taken,29.88984587,-93.47942824
CRMS0639-S03,,2/28/2007,12 to 16,7.26,5.7,6550,3.6,87.62,0.08,57.09,324.29,48.03,,,,0.0457,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; B. Duhon; C. Durio; K. Trahan,No water on marsh where samples taken,29.88984587,-93.47942824
CRMS0639-S03,,2/28/2007,16 to 20,7.19,5.72,7060,3.9,87.78,0.1,53.42,324.29,51.4,,,,0.0534,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; B. Duhon; C. Durio; K. Trahan,No water on marsh where samples taken,29.88984587,-93.47942824
CRMS0639-S03,,2/28/2007,20 to 24,7.32,6.09,6790,3.7,87.03,0.1,54.55,324.29,51.79,,,,0.0546,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; B. Duhon; C. Durio; K. Trahan,No water on marsh where samples taken,29.88984587,-93.47942824
CRMS0639-S04,,3/19/2018,0 to 4,,,,,85.22,0.13,40.75,324.29,75.95,,,,0.053,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88986513,-93.47909692
CRMS0639-S04,,3/19/2018,4 to 8,,,,,76.93,0.21,20.69,324.29,94.13,,,,0.0434,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88986513,-93.47909692
CRMS0639-S04,,3/19/2018,8 to 12,,,,,86.67,0.14,41.52,324.29,33.6,,,,0.0581,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88986513,-93.47909692
CRMS0639-S04,,3/19/2018,12 to 16,,,,,89.39,0.08,56.41,324.29,108.68,,,,0.0451,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88986513,-93.47909692
CRMS0639-S04,,3/19/2018,16 to 20,,,,,90,0.09,64.44,324.29,58.95,,,,0.058,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88986513,-93.47909692
CRMS0639-S04,,3/19/2018,20 to 24,,,,,80.14,0.22,45.67,324.29,35.99,,,,0.1005,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88986513,-93.47909692
CRMS0639-S05,,3/19/2018,0 to 4,,,,,84.95,0.16,43.08,324.29,32.61,,,,0.0689,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.88984685,-93.47915897
CRMS0639-S05,,3/19/2018,4 to 8,,,,,88.3,0.14,47.29,324.29,,,,,0.0662,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Dry volume of -16.25 likely negative due to difficulty in extracting an exactly 4 cm thick core section. Spartina patens is dominant species. 7 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.88984685,-93.47915897
CRMS0639-S05,,3/19/2018,8 to 12,,,,,89.05,0.1,60.56,324.29,69.82,,,,0.0606,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.88984685,-93.47915897
CRMS0639-S05,,3/19/2018,12 to 16,,,,,84.36,0.17,49.34,324.29,24.94,,,,0.0839,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.88984685,-93.47915897
CRMS0639-S05,,3/19/2018,16 to 20,,,,,71.06,0.35,28.84,324.29,47.55,,,,0.1009,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.88984685,-93.47915897
CRMS0639-S05,,3/19/2018,20 to 24,,,,,68.67,0.29,40.42,324.29,114.69,,,,0.1172,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.88984685,-93.47915897
CRMS0639-S06,,3/19/2018,0 to 4,,,,,84.62,0.17,31.96,324.29,25.48,,,,0.0543,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88958465,-93.47929235
CRMS0639-S06,,3/19/2018,4 to 8,,,,,87.74,0.12,42.68,324.29,51.01,,,,0.0512,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88958465,-93.47929235
CRMS0639-S06,,3/19/2018,8 to 12,,,,,89.52,0.1,58.68,324.29,41.45,,,,0.0587,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88958465,-93.47929235
CRMS0639-S06,,3/19/2018,12 to 16,,,,,89.76,0.11,62.19,324.29,23.94,,,,0.0684,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88958465,-93.47929235
CRMS0639-S06,,3/19/2018,16 to 20,,,,,87.31,0.14,56.69,324.29,16.37,,,,0.0794,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88958465,-93.47929235
CRMS0639-S06,,3/19/2018,20 to 24,,,,,73.29,0.34,38.59,324.29,18.71,,,,0.1312,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,L. Ardoin; J. Aguillard; N. Bell,Spartina patens is dominant species. 7 cm of water on marsh.,29.88958465,-93.47929235
CRMS0641-S01,,6/1/2006,0 to 4,6.15,5.13,11710,6.7,79.64,0.15,40.89,324.29,68.08,,,,0.0613,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89683179,-93.51044203
CRMS0641-S01,,6/1/2006,4 to 8,6.07,5.29,9310,5.2,84.71,0.14,47.4,324.29,75.14,,,,0.0664,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89683179,-93.51044203
CRMS0641-S01,,6/1/2006,8 to 12,6.3,5.64,6720,3.7,85.66,0.13,50,324.29,67.87,,,,0.065,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89683179,-93.51044203
CRMS0641-S01,,6/1/2006,12 to 16,6.68,5.71,6740,3.7,83,0.17,40.1,324.29,72.41,,,,0.0682,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89683179,-93.51044203
CRMS0641-S01,,6/1/2006,16 to 20,6.98,5.7,6180,3.4,79.67,0.2,37.81,324.29,71.1,,,,0.0756,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89683179,-93.51044203
CRMS0641-S01,,6/1/2006,20 to 24,6.92,5.61,6070,3.3,81.28,0.19,40.89,324.29,64.51,,,,0.0777,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89683179,-93.51044203
CRMS0641-S02,,6/1/2006,0 to 4,7.33,6.62,22360,13.5,76.87,0.12,34.33,324.29,55.63,,,,0.0412,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89668977,-93.51052043
CRMS0641-S02,,6/1/2006,4 to 8,6.92,5.62,15260,8.9,77.12,0.23,36.87,324.29,106.59,,,,0.0848,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89668977,-93.51052043
CRMS0641-S02,,6/1/2006,8 to 12,6.62,5.41,11155,6.35,86.4,0.12,54.23,324.29,72.47,,,,0.0651,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89668977,-93.51052043
CRMS0641-S02,,6/1/2006,12 to 16,6.78,5.63,7910,4.4,85.54,0.15,48.5,324.29,74.9,,,,0.0728,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89668977,-93.51052043
CRMS0641-S02,,6/1/2006,16 to 20,6.89,5.58,8125,4.55,80.94,0.2,39.77,324.29,73.68,,,,0.0795,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89668977,-93.51052043
CRMS0641-S02,,6/1/2006,20 to 24,6.95,5.51,6670,3.7,81.01,0.22,43.63,324.29,84.82,,,,0.096,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.89668977,-93.51052043
CRMS0641-S03,,6/1/2006,0 to 4,5.35,4.65,11620,6.6,84.27,0.06,52.31,324.29,43.19,,,,0.0314,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.8966266,-93.51055519
CRMS0641-S03,,6/1/2006,4 to 8,5.94,4.89,8210,4.6,83.09,0.12,45.63,324.29,59.43,,,,0.0548,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.8966266,-93.51055519
CRMS0641-S03,,6/1/2006,8 to 12,6.39,5.22,7690,4.25,77.66,0.21,41.76,324.29,89.01,,,,0.0877,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.8966266,-93.51055519
CRMS0641-S03,,6/1/2006,12 to 16,6.72,5.79,7600,4.2,86.23,0.14,46.52,324.29,67.79,,,,0.0651,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.8966266,-93.51055519
CRMS0641-S03,,6/1/2006,16 to 20,7.15,6.12,6850,3.8,85.54,0.15,40.48,324.29,60.92,,,,0.0607,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.8966266,-93.51055519
CRMS0641-S03,,6/1/2006,20 to 24,7.11,5.98,6630,3.65,80.44,0.19,37.4,324.29,64.86,,,,0.0711,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,M. Rabalais; B. Duhon; R. Broussard; L. Babin,Lots of organic matter at surface; clay at bottom of sediment core,29.8966266,-93.51055519
CRMS0641-S04,,3/19/2018,0 to 4,,,,,87.3,0.1,52.4,324.29,90.13,,,,0.0524,253.67,25.367,13.37,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.89692257,-93.51032726
CRMS0641-S04,,3/19/2018,4 to 8,,,,,82.41,0.16,36.07,324.29,77.29,,,,0.0577,150.7,24.112,8.56,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.89692257,-93.51032726
CRMS0641-S04,,3/19/2018,8 to 12,,,,,85.62,0.13,41.96,324.29,75.59,,,,0.0545,195.23,25.38,10.3,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.89692257,-93.51032726
CRMS0641-S04,,3/19/2018,12 to 16,,,,,83.54,0.12,66.45,324.29,129.56,,,,0.0797,263.6,31.632,12.44,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.89692257,-93.51032726
CRMS0641-S04,,3/19/2018,16 to 20,,,,,87.89,0.1,57.42,324.29,95.03,,,,0.0574,284.16,28.416,15.11,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.89692257,-93.51032726
CRMS0641-S04,,3/19/2018,20 to 24,,,,,87.86,0.1,54.12,324.29,88.53,,,,0.0541,266.98,26.698,14.09,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.89692257,-93.51032726
CRMS0641-S05,,3/19/2018,0 to 4,,,,,82.89,0.15,39.69,324.29,94.14,,,,0.0595,195.23,29.285,10.67,553.44,30.03,53.9,16.07,5.25,5.55,2.66,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89697667,-93.51033789
CRMS0641-S05,,3/19/2018,4 to 8,,,,,84.97,0.13,48.85,324.29,81.49,,,,0.0635,248.64,32.323,13.73,616.72,24.05,60.61,15.34,5.45,5.86,2.56,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89697667,-93.51033789
CRMS0641-S05,,3/19/2018,8 to 12,,,,,83.71,0.13,45.7,324.29,108.57,,,,0.0594,234.64,30.503,13.15,526.32,54.89,38.7,6.41,3.67,3.41,2.59,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89697667,-93.51033789
CRMS0641-S05,,3/19/2018,12 to 16,,,,,83.59,0.14,45.97,324.29,97.43,,,,0.0644,237.56,33.258,13.09,450.34,69.19,26.93,3.88,2.88,2.48,2.41,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89697667,-93.51033789
CRMS0641-S05,,3/19/2018,16 to 20,,,,,86.69,0.11,57.78,324.29,87.76,,,,0.0636,288.32,31.715,15.63,487.14,50.19,42.73,7.08,3.88,3.83,2.68,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89697667,-93.51033789
CRMS0641-S05,,3/19/2018,20 to 24,,,,,85.38,0.13,51.18,324.29,74.04,,,,0.0665,263.41,34.243,15.01,511.11,33.68,58.48,7.84,4.69,4.81,2.31,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89697667,-93.51033789
CRMS0641-S06,,3/19/2018,0 to 4,,,,,86.09,0.11,45.46,324.29,93.97,,,,0.05,215.91,23.75,12.12,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89676791,-93.51064755
CRMS0641-S06,,3/19/2018,4 to 8,,,,,88,0.08,64.48,324.29,124.61,,,,0.0516,258.09,20.647,16.31,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89676791,-93.51064755
CRMS0641-S06,,3/19/2018,8 to 12,,,,,88.94,0.11,64.9,324.29,30.03,,,,0.0714,314.41,34.585,18.22,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89676791,-93.51064755
CRMS0641-S06,,3/19/2018,12 to 16,,,,,81.44,0.19,44.74,324.29,58.62,,,,0.085,212.35,40.347,13.2,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89676791,-93.51064755
CRMS0641-S06,,3/19/2018,16 to 20,,,,,82.52,0.17,44.23,324.29,62.26,,,,0.0752,208.51,35.447,13.85,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89676791,-93.51064755
CRMS0641-S06,,3/19/2018,20 to 24,,,,,86.3,0.11,51.98,324.29,108.22,,,,0.0572,249.49,27.444,16.61,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Aguillard; L. Ardoin; N. Bell,Spartina patens is dominant species. 11 cm of water on marsh.,29.89676791,-93.51064755
CRMS0642-S01,,2/27/2007,0 to 4,7.02,6.08,3361,1.8,85.75,0.13,59.83,324.29,74.77,,,,0.0778,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86803436,-93.47915825
CRMS0642-S01,,2/27/2007,4 to 8,6.98,6.25,4103,2.2,85.85,0.11,62.26,324.29,75.19,,,,0.0685,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86803436,-93.47915825
CRMS0642-S01,,2/27/2007,8 to 12,7.21,6.17,5270,2.8,87.36,0.11,57.39,324.29,66.81,,,,0.0631,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86803436,-93.47915825
CRMS0642-S01,,2/27/2007,12 to 16,7.24,6.24,6655,3.65,84.19,0.16,53.35,324.29,90.07,,,,0.0854,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86803436,-93.47915825
CRMS0642-S01,,2/27/2007,16 to 20,7.16,6.27,6970,3.8,81.95,0.19,39,324.29,78.37,,,,0.0741,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86803436,-93.47915825
CRMS0642-S01,,2/27/2007,20 to 24,7.18,6.45,6300,3.45,67.25,0.36,24.41,324.29,132.54,,,,0.0879,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86803436,-93.47915825
CRMS0642-S02,,2/27/2007,0 to 4,6.92,6.08,2694,1.4,78.32,0.13,31.78,324.29,62.24,,,,0.0413,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807937,-93.47918953
CRMS0642-S02,,2/27/2007,4 to 8,6.9,5.92,3509,1.8,83.5,0.1,55.24,324.29,59.29,,,,0.0552,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807937,-93.47918953
CRMS0642-S02,,2/27/2007,8 to 12,6.86,5.88,4725,2.5,84.42,0.11,62.93,324.29,68.56,,,,0.0692,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807937,-93.47918953
CRMS0642-S02,,2/27/2007,12 to 16,6.96,6.02,5570,3,87.26,0.1,66.76,324.29,84.81,,,,0.0668,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807937,-93.47918953
CRMS0642-S02,,2/27/2007,16 to 20,7.12,6.26,6560,3.6,88.27,0.09,70,324.29,78.02,,,,0.063,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807937,-93.47918953
CRMS0642-S02,,2/27/2007,20 to 24,7.01,6.34,6940,3.85,81.95,0.17,43.66,324.29,88.55,,,,0.0742,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807937,-93.47918953
CRMS0642-S03,,2/27/2007,0 to 4,6.92,6.09,2278,1.2,79.97,0.13,37.63,324.29,69.91,,,,0.0489,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807049,-93.47914807
CRMS0642-S03,,2/27/2007,4 to 8,6.9,5.94,3554,1.9,82.32,0.2,40.69,324.29,99.27,,,,0.0814,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807049,-93.47914807
CRMS0642-S03,,2/27/2007,8 to 12,6.91,6.49,4889,2.6,84.47,0.13,47,324.29,78.33,,,,0.0611,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807049,-93.47914807
CRMS0642-S03,,2/27/2007,12 to 16,7.05,6.58,6040,3.3,87.8,0.12,49.68,324.29,79.19,,,,0.0596,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807049,-93.47914807
CRMS0642-S03,,2/27/2007,16 to 20,7,6.56,6730,3.7,86.58,0.12,52.46,324.29,73.79,,,,0.063,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807049,-93.47914807
CRMS0642-S03,,2/27/2007,20 to 24,6.86,6.49,7040,3.9,78.91,0.21,39.05,324.29,84.17,,,,0.082,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,R. Hicks; M. Rabalais; B. Duhon; C. Durio; K. Trahan,Soil very soft; Typha spp. dominant species present,29.86807049,-93.47914807
CRMS0642-S04,,3/15/2018,0 to 4,,,,,91.65,0.06,63.34,324.29,121.43,,,,0.038,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,K. Guillory; J. Aguillard; N. Bell,Typha latifolia is dominant species. 0.5 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.86782597,-93.47938505
CRMS0642-S04,,3/15/2018,4 to 8,,,,,85.93,0.17,33.4,324.29,,,,,0.0568,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,K. Guillory; J. Aguillard; N. Bell,Typha latifolia is dominant species. 0.5 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.86782597,-93.47938505
CRMS0642-S04,,3/15/2018,8 to 12,,,,,76.27,0.19,16.67,324.29,126.91,,,,0.0317,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,K. Guillory; J. Aguillard; N. Bell,Typha latifolia is dominant species. 0.5 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.86782597,-93.47938505
CRMS0642-S04,,3/15/2018,12 to 16,,,,,72.98,0.25,23.05,324.29,104.47,,,,0.0576,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,K. Guillory; J. Aguillard; N. Bell,Typha latifolia is dominant species. 0.5 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.86782597,-93.47938505
CRMS0642-S04,,3/15/2018,16 to 20,,,,,79.36,0.1,34.37,324.29,194.33,,,,0.0344,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,K. Guillory; J. Aguillard; N. Bell,Typha latifolia is dominant species. 0.5 cm of water on marsh. Soil is highly organic resulting in greater than 10 % compaction. ,29.86782597,-93.47938505
